ID	RA	e_RA	DEC	e_DEC	Sint	e_Sint	Spk	e_Spk	MAJAX	e_MAJAX	MINAX	e_MINAX	PA	e_PA	Island_RMS	S_Code	Mosaic_Name
J105330.6+535150	163.3777	2.0	53.86401	2.0	1975.1	197.7	892.3	89.3	46.5	0.2	28.2	0.1	84.8	0.5	2.8	M	R34D65
J105106.6+534754	162.77779	2.0	53.79841	2.0	457.5	45.9	425.7	42.6	26.2	0.2	25.6	0.1	87.5	8.0	2.4	S	R34D65
J110003.7+535437	165.01582	2.1	53.91048	2.1	43.8	6.6	41.9	5.1	26.3	1.9	24.9	1.7	31.5	51.9	2.9	S	R34D65
J105828.3+535252	164.61806	2.0	53.88113	2.0	498.3	50.1	411.3	41.2	30.4	0.2	24.9	0.2	-37.4	1.4	2.9	S	R34D65
J105829.9+534752	164.6248	2.3	53.79794	2.3	35.2	6.0	30.1	4.2	28.3	2.9	25.9	2.4	52.4	46.7	2.9	S	R34D65
J105831.3+534224	164.63045	2.5	53.70689	2.4	33.1	5.7	26.2	3.9	29.3	3.4	26.9	2.9	78.2	56.3	2.8	S	R34D65
J105846.5+533917	164.69376	2.0	53.65493	2.0	469.4	47.4	366.8	36.8	41.2	0.5	23.8	0.2	23.7	0.9	2.7	M	R34D65
J105843.6+533815	164.68204	2.0	53.63776	2.0	133.9	14.1	98.1	10.2	32.4	1.0	26.3	0.7	19.6	6.1	2.7	C	R34D65
J105702.4+533803	164.26009	2.0	53.63422	2.0	150.4	15.9	141.5	14.5	26.2	0.6	25.4	0.5	-82.5	27.6	3.0	S	R34D65
J105615.1+533741	164.06332	2.0	53.62825	2.0	1207.0	120.8	1179.2	118.0	25.4	0.1	25.2	0.1	-59.5	10.7	3.0	S	R34D65
J110100.8+533628	165.2534	2.0	53.60779	2.0	1232.4	123.4	791.1	79.2	35.4	0.2	26.7	0.1	69.0	0.7	2.7	M	R34D65
J105840.7+533543	164.66985	2.0	53.59536	2.0	738.4	74.0	725.7	72.6	25.3	0.1	25.1	0.1	82.8	21.4	2.8	S	R34D65
J105655.8+532917	164.23277	2.1	53.48818	2.1	89.6	10.2	72.5	7.9	28.8	1.3	26.8	1.1	-56.9	24.9	2.9	S	R34D65
J105704.7+532646	164.26997	2.0	53.44617	2.0	404.0	41.0	281.1	28.3	33.7	0.4	25.4	0.3	-5.3	1.9	2.9	M	R34D65
J105724.2+532627	164.3511	2.0	53.44109	2.0	312.6	31.6	305.1	30.6	25.5	0.2	25.1	0.2	-3.9	20.9	2.9	C	R34D65
J105706.7+532543	164.27821	2.0	53.42887	2.0	1082.8	108.5	956.6	95.7	28.7	0.1	24.5	0.1	-8.6	0.9	2.9	M	R34D65
J105731.2+532004	164.38023	2.1	53.33452	2.2	69.0	8.3	49.1	5.7	32.3	2.1	27.2	1.5	31.0	15.2	2.8	S	R34D65
J105656.7+531640	164.2364	2.0	53.27787	2.0	198.0	20.4	163.9	16.7	28.1	0.5	26.9	0.5	76.4	16.3	2.9	S	R34D65
J105521.1+534049	163.83817	2.1	53.68041	2.1	58.6	7.9	50.8	6.0	27.9	1.8	25.8	1.6	34.8	32.5	3.1	S	R34D65
J105404.9+534338	163.52081	2.0	53.72746	2.0	105.5	11.6	87.8	9.3	28.3	1.0	26.6	0.9	75.2	21.7	2.9	S	R34D65
J105132.4+533041	162.88522	2.0	53.51145	2.0	232.3	23.7	217.9	22.0	26.2	0.3	25.5	0.3	-63.9	17.2	2.6	S	R34D65
J105551.8+532858	163.96619	2.0	53.48288	2.0	123.2	13.4	118.3	12.2	26.0	0.7	25.1	0.6	38.0	30.3	3.0	S	R34D65
J105501.9+532758	163.75824	2.1	53.46636	2.1	82.4	9.7	73.4	8.0	27.3	1.2	25.6	1.1	-53.1	27.0	3.0	S	R34D65
J105454.6+532514	163.72751	2.0	53.42066	2.0	1958.5	196.0	1105.6	110.6	37.7	0.1	26.5	0.1	-80.4	0.5	3.0	M	R34D65
J105240.3+532109	163.16818	2.4	53.35271	2.8	41.3	6.0	25.8	3.9	37.4	4.8	26.8	2.7	17.9	15.0	2.7	S	R34D65
J105204.8+532119	163.02	2.0	53.35531	2.0	78.4	9.1	71.8	7.7	26.6	1.0	25.7	1.0	-6.2	42.4	2.7	S	R34D65
J105351.2+531024	163.46356	2.3	53.17348	2.5	46.2	6.7	30.9	4.4	34.3	3.8	27.2	2.5	17.7	18.9	3.0	S	R34D65
J104624.0+535426	161.60022	2.0	53.90723	2.0	183.9	18.7	176.2	17.7	25.8	0.3	25.3	0.3	19.9	25.3	2.0	S	R33D65
J104706.0+535114	161.77502	2.1	53.854	2.2	33.7	4.8	29.1	3.6	29.1	2.2	24.9	1.7	18.4	21.4	2.0	S	R33D65
J104617.7+534808	161.57382	2.1	53.80231	2.1	32.9	4.8	31.3	3.7	26.6	1.8	24.7	1.5	34.9	38.2	2.0	S	R33D65
J104548.6+534804	161.45271	2.0	53.80115	2.0	118.3	12.7	76.1	7.9	34.2	1.2	22.3	0.5	-26.1	3.2	2.0	M	R33D65
J105002.5+533654	162.5107	2.1	53.61514	2.1	48.8	6.3	41.0	4.8	28.1	1.7	26.5	1.5	-57.1	39.7	2.4	S	R34D65
J104904.5+533856	162.26884	2.0	53.64907	2.0	160.6	16.5	147.8	15.0	26.3	0.4	25.8	0.4	-59.4	39.5	2.2	S	R33D65
J104706.2+534415	161.77602	2.0	53.73756	2.0	575.6	57.9	176.9	17.8	63.4	1.1	26.6	0.3	-54.4	1.1	2.0	M	R33D65
J104719.3+533912	161.83052	2.1	53.6536	2.1	36.9	5.1	34.4	4.0	27.3	1.7	24.6	1.4	-11.0	26.0	2.0	S	R33D65
J104712.8+533921	161.80351	2.1	53.65606	2.1	36.4	5.0	32.5	3.9	28.6	2.0	24.5	1.5	34.5	19.7	2.0	S	R33D65
J104753.7+533906	161.97392	2.4	53.65193	2.4	20.2	4.1	18.3	2.8	26.8	3.2	25.7	2.9	3.2	90.0	2.1	S	R33D65
J104421.9+535711	161.0914	2.0	53.9531	2.0	94.2	10.0	86.5	8.9	26.4	0.6	25.8	0.6	70.2	41.9	2.0	S	R33D65
J104304.0+534927	160.76689	2.0	53.82426	2.0	83.3	8.9	86.5	8.8	24.7	0.5	24.4	0.5	15.9	72.2	1.8	S	R33D65
J104306.5+534648	160.77734	2.0	53.78024	2.0	144.7	14.8	137.8	13.9	25.9	0.4	25.3	0.3	18.2	23.9	1.8	S	R33D65
J104125.6+534458	160.3569	2.1	53.74963	2.1	45.0	5.4	38.2	4.2	27.8	1.4	26.4	1.3	58.7	39.2	1.8	S	R33D65
J104518.3+533517	161.32649	2.0	53.58824	2.0	189.4	19.2	141.6	14.3	31.5	0.5	26.5	0.4	-86.2	4.8	2.0	S	R33D65
J104443.5+533546	161.18163	2.2	53.59629	2.3	55.8	6.3	30.1	3.7	36.4	2.7	31.8	2.1	23.0	23.5	1.9	S	R33D65
J104351.7+532717	160.96542	2.1	53.45476	2.1	39.5	5.1	39.5	4.4	25.5	1.2	24.5	1.1	14.6	51.2	1.8	S	R33D65
J104410.6+532220	161.0443	2.0	53.37248	2.0	388.7	39.0	377.3	37.8	25.6	0.1	25.2	0.1	-73.8	15.2	1.9	S	R33D65
J104323.3+533018	160.84715	2.1	53.50504	2.1	44.5	5.4	40.4	4.4	26.9	1.3	25.6	1.2	6.2	40.8	1.8	S	R33D65
J104245.8+532919	160.6909	2.1	53.48876	2.0	136.0	14.3	77.0	7.9	39.4	1.4	22.3	0.5	29.7	2.6	1.8	M	R33D65
J105006.1+533336	162.52554	2.5	53.56024	2.6	22.1	4.6	18.1	3.1	29.1	4.2	26.3	3.5	-30.8	57.5	2.4	S	R34D65
J104851.2+533051	162.21342	2.2	53.51424	2.2	22.5	4.5	23.8	3.3	24.7	2.4	23.9	2.2	43.3	90.0	2.3	S	R33D65
J105049.4+532706	162.70605	2.2	53.45168	2.1	39.7	5.8	35.5	4.4	28.3	2.2	24.6	1.7	81.7	20.3	2.5	S	R34D65
J105127.4+532406	162.86452	2.0	53.40194	2.0	158.5	16.4	138.1	14.1	27.0	0.5	26.6	0.5	56.9	58.5	2.6	S	R34D65
J104946.6+531950	162.44434	2.0	53.33062	2.0	116.4	12.3	83.6	8.7	30.9	1.0	28.2	0.8	79.8	16.5	2.4	C	R33D65
J104951.5+531935	162.46481	2.4	53.32652	2.4	37.8	5.5	25.4	3.6	32.1	3.4	29.0	2.8	-20.3	44.6	2.4	C	R33D65
J104825.4+531832	162.10622	2.0	53.30908	2.0	279.6	28.2	267.0	26.8	25.7	0.2	25.5	0.2	46.5	54.6	2.3	C	R33D65
J104828.6+531809	162.11928	2.1	53.30276	2.1	73.5	8.2	52.1	5.7	31.4	1.5	28.0	1.2	22.6	18.9	2.3	C	R33D65
J105030.1+531200	162.62579	2.2	53.20001	2.2	45.4	6.2	35.3	4.4	28.9	2.2	27.9	2.0	82.1	84.5	2.5	S	R34D65
J105145.6+530929	162.94009	2.5	53.15826	3.6	33.4	5.2	18.7	3.3	42.4	7.2	26.4	3.2	7.7	14.4	2.6	S	R34D65
J105144.0+530618	162.93347	2.0	53.10525	2.0	98.7	10.7	83.2	8.7	27.9	0.9	26.6	0.8	-48.7	26.1	2.5	S	R34D65
J104958.9+530034	162.4958	2.1	53.0095	2.1	48.2	6.1	40.2	4.6	29.4	1.8	25.5	1.4	-4.2	19.5	2.2	S	R33D65
J104424.8+531623	161.10365	2.0	53.27307	2.0	342.1	34.5	225.5	22.6	33.8	0.4	24.8	0.2	75.8	1.4	1.9	M	R33D65
J104633.9+531246	161.64143	2.0	53.21286	2.0	455.2	45.8	260.4	26.1	37.9	0.4	26.6	0.2	79.0	1.3	2.1	M	R33D65
J104453.3+531038	161.22221	2.0	53.17737	2.0	279.7	28.2	223.1	22.4	29.0	0.3	27.0	0.2	-63.7	6.4	2.0	S	R33D65
J104343.0+532058	160.92949	2.0	53.34961	2.0	213.0	21.5	134.4	13.6	34.3	0.5	28.9	0.4	30.7	4.6	1.9	S	R33D65
J104352.9+531020	160.97073	2.0	53.17243	2.1	51.9	6.2	47.2	5.1	27.1	1.2	25.4	1.0	24.8	27.2	1.9	S	R33D65
J104350.4+530523	160.96028	2.0	53.08995	2.0	824.7	82.5	782.7	78.3	26.0	0.1	25.3	0.1	-20.9	4.8	1.9	S	R33D65
J104221.7+530524	160.59079	2.0	53.09023	2.0	238.1	24.2	109.3	11.1	41.9	0.9	29.1	0.5	89.6	2.6	1.9	M	R33D65
J104215.1+530527	160.56329	2.2	53.09098	2.1	124.1	12.7	43.0	4.7	48.6	2.4	37.2	1.6	89.0	8.9	1.9	C	R33D65
