ID	RA	e_RA	DEC	e_DEC	Sint	e_Sint	Spk	e_Spk	MAJAX	e_MAJAX	MINAX	e_MINAX	PA	e_PA	Island_RMS	S_Code	Mosaic_Name
J141341.8+485718	213.42435	2.1	48.95511	2.1	100.6	12.3	95.3	10.4	26.6	1.2	24.8	1.0	30.4	24.7	4.1	S	R44D63
J141304.9+485256	213.27083	2.0	48.88225	2.0	383.5	39.0	381.1	38.3	25.2	0.3	25.0	0.3	86.3	48.1	4.0	S	R44D63
J141330.4+484436	213.37691	2.1	48.74338	2.0	217.6	22.7	138.5	14.5	36.6	1.3	26.8	0.7	-80.8	3.5	4.0	S	R44D63
J141253.5+485017	213.22324	2.1	48.8381	2.1	96.2	11.7	72.1	8.3	29.9	1.8	27.9	1.6	37.7	35.1	4.0	S	R44D63
J141259.2+484704	213.24673	2.9	48.78453	2.5	75.2	9.6	37.7	5.7	41.5	5.2	30.0	3.0	65.7	15.7	3.9	S	R44D63
J141238.4+484445	213.16028	2.0	48.74607	2.0	100.0	12.0	98.8	10.6	25.7	1.0	24.6	0.9	21.9	36.8	3.8	S	R44D63
J141424.6+480858	213.60271	2.1	48.1495	2.1	94.6	11.2	84.6	9.2	26.9	1.2	25.9	1.1	-59.4	46.1	3.5	S	R44D63
J141101.5+484604	212.75644	2.1	48.76803	2.1	103.2	11.7	77.5	8.5	31.1	1.5	26.7	1.1	5.3	11.3	3.3	S	R44D63
J141036.0+485041	212.65027	2.0	48.84478	2.0	511.8	51.5	482.4	48.3	25.9	0.2	25.6	0.2	-86.0	27.6	3.2	S	R44D63
J141047.7+483934	212.69894	2.0	48.65965	2.0	143.2	15.4	136.3	14.0	25.9	0.6	25.3	0.6	77.2	42.5	3.2	S	R44D63
J141032.8+482730	212.63693	2.0	48.45842	2.0	599.9	60.5	520.9	52.2	26.9	0.2	26.0	0.2	73.4	7.9	3.1	M	R44D63
J140902.3+492508	212.2597	2.1	49.41915	2.1	61.6	8.0	56.6	6.4	26.3	1.4	26.0	1.4	21.7	1.7	3.0	C	R43D63
J140858.8+492457	212.24538	2.0	49.41586	2.0	117.5	12.8	115.7	11.9	25.4	0.7	25.0	0.6	-9.4	72.8	3.0	C	R43D63
J140743.4+491755	211.93085	2.0	49.29886	2.0	230.1	23.5	213.1	21.5	26.0	0.3	25.9	0.3	-31.0	90.0	2.7	S	R43D63
J140711.1+491139	211.79648	2.0	49.19424	2.0	107.3	11.7	114.0	11.7	24.5	0.6	24.0	0.5	-8.3	55.1	2.7	S	R43D63
J140712.1+493218	211.80051	2.3	49.53845	2.2	52.6	6.9	35.3	4.6	32.4	2.8	28.7	2.3	64.4	31.4	2.8	S	R43D63
J140708.3+493610	211.78476	2.5	49.6029	2.5	72.0	8.3	32.3	4.4	38.4	3.7	36.3	3.3	31.5	70.9	2.8	S	R43D63
J140655.4+491639	211.73099	2.6	49.27772	2.4	24.8	5.1	21.1	3.4	29.7	4.2	24.6	2.9	-70.3	31.4	2.6	S	R43D63
J140620.9+492144	211.58746	2.0	49.36227	2.0	280.1	28.4	260.7	26.2	26.1	0.3	25.7	0.3	54.5	30.3	2.6	S	R43D63
J140432.7+493647	211.13644	2.0	49.61325	2.0	154.9	16.1	134.6	13.7	28.0	0.6	25.6	0.5	66.6	9.9	2.5	S	R43D63
J140518.8+492747	211.32867	2.0	49.46327	2.0	1970.1	197.1	1818.3	181.9	26.5	0.0	25.5	0.0	-16.8	2.5	2.5	S	R43D63
J140941.6+485606	212.42339	2.0	48.93527	2.0	93.5	10.6	82.1	8.8	28.2	1.1	25.2	0.9	47.1	15.9	3.0	S	R43D63
J140813.2+485436	212.05515	2.2	48.91017	2.2	46.5	6.4	35.3	4.5	29.7	2.4	27.7	2.1	38.4	47.8	2.6	S	R43D63
J140738.3+485959	211.9099	2.0	48.9999	2.0	279.3	28.3	271.4	27.3	25.4	0.2	25.3	0.2	78.0	62.5	2.6	S	R43D63
J140725.9+490733	211.85806	2.8	49.12604	2.5	28.4	5.3	20.9	3.5	32.6	4.8	26.0	3.2	-62.2	28.5	2.7	S	R43D63
J140635.9+491030	211.64967	2.3	49.17503	2.4	30.3	5.3	26.0	3.7	28.6	3.1	25.6	2.5	-15.9	40.8	2.6	S	R43D63
J140729.9+485936	211.8746	2.2	48.99335	2.3	21.3	5.0	24.7	3.5	23.9	2.5	22.6	2.2	-8.4	76.8	2.6	S	R43D63
J140811.2+483646	212.04694	2.1	48.61296	2.1	68.5	8.1	55.7	6.2	28.9	1.5	26.6	1.3	84.5	27.0	2.6	S	R43D63
J140736.7+483737	211.90294	2.0	48.62721	2.0	92.0	10.2	84.3	8.8	26.6	0.8	25.7	0.8	-52.9	36.7	2.5	S	R43D63
J140611.0+485000	211.54596	2.0	48.83336	2.0	101.8	11.0	94.5	9.8	26.6	0.7	25.3	0.6	-9.5	22.0	2.4	S	R43D63
J140604.6+485221	211.51924	2.1	48.8725	2.1	88.6	9.7	64.8	7.0	32.0	1.4	26.7	1.0	-43.2	11.0	2.4	S	R43D63
J140532.8+485515	211.38692	2.2	48.92086	2.2	33.3	5.3	30.6	3.9	26.8	2.2	25.4	2.0	-83.6	66.7	2.4	S	R43D63
J140547.1+490607	211.44632	2.3	49.10196	2.3	31.7	5.3	25.6	3.7	28.0	2.8	27.7	2.8	-88.9	1.1	2.5	S	R43D63
J140418.7+490610	211.07829	2.0	49.10281	2.0	138.3	14.4	137.4	14.0	25.3	0.4	24.8	0.4	7.0	33.7	2.4	S	R43D63
J140248.3+491356	210.70151	3.5	49.23223	2.6	28.6	4.5	16.1	2.9	40.3	6.9	27.6	3.6	-77.4	20.2	2.3	S	R43D63
J140502.0+485813	211.25844	2.1	48.97028	2.1	48.7	6.4	43.9	5.1	26.5	1.5	26.1	1.5	33.6	90.0	2.4	S	R43D63
J140445.5+485619	211.18976	2.0	48.93888	2.0	197.9	20.6	163.2	16.5	27.7	0.5	23.6	0.3	-59.6	4.2	2.4	M	R43D63
J140448.2+484958	211.20116	2.7	48.83304	2.7	24.0	4.6	17.7	3.1	31.8	4.8	26.6	3.5	-46.1	35.6	2.4	S	R43D63
J140249.9+491024	210.7081	2.2	49.17361	2.1	34.8	5.2	32.5	4.0	26.6	1.9	25.1	1.7	59.1	50.7	2.2	S	R43D63
J140220.6+491041	210.58604	2.0	49.17832	2.0	246.0	24.9	234.4	23.5	26.0	0.2	25.2	0.2	-30.5	13.7	2.2	S	R43D63
J140212.3+491232	210.55141	2.1	49.20899	2.1	45.1	5.9	45.3	5.0	25.6	1.3	24.3	1.1	-24.6	40.2	2.2	S	R43D63
J140302.1+485751	210.75903	2.0	48.96422	2.0	86.1	9.4	74.5	7.8	27.6	0.9	26.2	0.8	0.0	24.6	2.2	S	R43D63
J140257.3+485705	210.73888	2.1	48.95156	2.1	81.8	9.0	59.9	6.4	30.4	1.2	28.0	1.1	0.8	21.2	2.2	S	R43D63
J140943.7+504906	212.43227	2.2	50.81846	2.2	115.7	16.3	94.9	11.8	29.0	2.2	26.3	1.9	6.8	33.1	6.8	S	R43D64
J140719.0+502739	211.82948	2.0	50.46094	2.0	199.3	22.1	188.9	19.7	26.1	0.8	25.3	0.7	-1.0	36.8	5.5	S	R43D64
J140446.9+503655	211.19543	2.1	50.61539	2.1	106.8	13.7	92.7	10.6	27.8	1.6	25.9	1.4	-2.4	33.0	5.0	S	R43D64
J140330.7+510544	210.87817	2.3	51.0958	2.4	82.5	17.0	78.6	11.7	26.4	3.0	24.9	2.7	-27.6	79.4	8.6	S	R43D64
J140244.8+510340	210.68683	3.5	51.06136	3.5	347.8	35.8	65.7	9.8	68.7	8.0	48.2	5.0	-46.2	15.2	7.7	S	R43D64
J140655.0+501640	211.72919	2.0	50.27788	2.0	149.1	16.4	131.2	13.8	27.5	0.9	25.8	0.8	4.3	19.8	4.0	S	R43D64
J140610.4+500835	211.54369	2.0	50.14308	2.0	218.6	22.6	183.7	18.7	27.7	0.5	26.9	0.5	28.0	25.7	3.3	S	R43D64
J140416.1+501706	211.06726	2.0	50.28528	2.0	860.8	86.2	806.3	80.7	25.9	0.1	25.8	0.1	88.1	26.5	3.0	S	R43D64
J140354.6+500925	210.97752	2.0	50.15719	2.0	1491.5	149.2	1273.0	127.3	28.6	0.1	25.6	0.1	85.1	90.0	2.8	S	R43D64
J140112.8+503345	210.30353	2.4	50.56262	2.7	30.2	6.5	25.6	4.3	29.4	4.3	25.0	3.2	-12.4	35.0	3.4	S	R43D64
J140110.0+504215	210.29182	2.0	50.70427	2.0	119.7	13.9	117.6	12.4	25.6	0.9	24.9	0.8	0.5	47.8	4.0	S	R43D64
J140043.3+504438	210.18069	2.0	50.74399	2.0	777.7	78.1	687.7	68.9	26.8	0.2	26.4	0.2	-78.5	15.4	4.0	S	R43D64
J140030.5+501654	210.12749	2.0	50.28171	2.0	81.7	9.5	82.3	8.7	25.2	0.9	24.7	0.8	-18.9	76.9	2.8	S	R43D63
J135951.7+503111	209.96579	2.1	50.51974	2.1	74.0	9.0	57.4	6.6	29.4	1.7	27.4	1.5	21.4	33.9	3.1	S	R43D63
J135926.2+503415	209.85945	2.0	50.57095	2.0	82.3	9.8	79.9	8.6	25.7	1.0	25.1	1.0	-36.2	66.5	3.1	S	R42D64
J135921.2+512825	209.8385	2.1	51.47372	2.1	146.8	16.6	118.9	12.8	28.0	1.1	27.6	1.1	25.5	90.0	4.5	S	R42D64
J140037.7+510848	210.15742	2.3	51.14692	2.3	89.4	12.5	64.9	8.5	30.6	2.7	28.1	2.3	-42.5	39.9	5.2	S	R43D64
J135901.5+511314	209.75632	2.0	51.22081	2.0	1812.8	181.8	1520.6	152.1	27.6	0.1	26.8	0.1	-15.1	4.6	4.5	M	R42D64
J135713.4+512231	209.30586	2.1	51.37547	2.1	92.1	11.5	77.8	8.8	27.8	1.5	26.7	1.4	-9.3	56.6	4.0	S	R42D64
J135757.4+511309	209.48946	2.3	51.2194	2.3	51.6	9.0	45.3	6.3	27.2	2.7	26.1	2.5	-79.0	90.0	4.3	S	R42D64
J135529.4+514122	208.87288	2.0	51.68968	2.0	153.5	16.6	153.3	15.8	25.3	0.6	24.8	0.6	-72.1	48.1	3.6	S	R42D64
J135514.7+512755	208.81161	2.0	51.46533	2.0	117.5	13.2	108.5	11.4	26.5	0.9	25.5	0.8	85.4	37.4	3.5	S	R42D64
J135454.1+512650	208.72549	2.5	51.44732	2.2	85.1	10.1	47.6	6.0	39.3	3.4	28.4	2.0	-85.4	12.6	3.5	S	R42D64
J135525.0+512029	208.85423	2.2	51.34153	2.1	56.2	8.3	51.4	6.3	26.7	1.9	25.6	1.8	63.0	71.3	3.6	S	R42D64
J135502.9+512113	208.76208	2.1	51.35376	2.1	84.5	10.3	73.1	8.2	27.1	1.4	26.6	1.3	12.3	90.0	3.5	S	R42D64
J135506.2+513359	208.77594	2.3	51.56643	2.4	45.9	7.5	36.4	5.2	30.0	3.2	26.2	2.5	-6.3	33.5	3.5	S	R42D64
J135353.4+512134	208.47267	2.1	51.35959	2.1	68.3	9.0	58.6	6.8	28.0	1.7	26.0	1.5	-14.4	34.1	3.4	S	R42D64
J135256.3+512542	208.23466	2.1	51.42857	2.1	89.2	10.6	73.9	8.2	28.0	1.4	27.0	1.3	26.4	52.3	3.4	S	R42D64
J135938.9+505149	209.91231	2.0	50.86374	2.0	671.9	67.9	449.2	45.1	33.1	0.4	26.2	0.2	16.7	1.9	4.1	M	R42D64
J135910.5+505039	209.79381	2.3	50.8442	2.4	57.2	8.6	42.0	5.8	32.7	3.5	26.1	2.3	-22.7	21.5	3.9	S	R42D64
J135542.8+504608	208.92867	2.0	50.76889	2.0	367.1	37.2	350.2	35.2	25.9	0.3	25.3	0.2	-55.7	21.0	3.4	S	R42D64
J135227.8+512515	208.11588	2.1	51.42105	2.2	49.7	7.6	47.6	5.9	26.3	1.9	24.8	1.7	-6.6	54.1	3.4	S	R42D64
J135434.1+505428	208.64223	2.0	50.9078	2.0	230.6	23.8	174.9	17.9	31.5	0.7	26.2	0.5	-47.8	6.1	3.6	S	R42D64
J135358.2+504911	208.49284	2.0	50.81989	2.0	1503.2	150.5	1263.3	126.4	29.3	0.1	27.0	0.1	22.8	1.6	3.6	M	R42D64
J135106.7+510142	207.77809	2.0	51.02845	2.0	384.4	38.9	365.2	36.7	26.0	0.2	25.3	0.2	-68.3	16.2	3.4	S	R42D64
J140351.2+495331	210.96355	2.0	49.89211	2.0	125.5	13.3	113.0	11.6	26.6	0.6	26.2	0.6	-78.2	62.0	2.5	C	R43D63
J140349.1+495259	210.95471	2.0	49.88331	2.0	393.3	39.6	316.7	31.8	29.3	0.3	26.5	0.2	15.3	4.4	2.5	C	R43D63
J140334.3+495731	210.89314	2.2	49.95871	2.2	37.0	5.8	33.5	4.3	27.2	2.2	25.4	1.9	33.3	47.9	2.6	S	R43D63
J140328.7+495036	210.86981	2.0	49.84356	2.0	795.8	79.8	761.7	76.2	25.5	0.1	24.7	0.1	50.5	4.3	2.5	M	R43D63
J140152.1+500216	210.46716	2.0	50.03784	2.0	1552.9	155.4	1370.6	137.1	30.6	0.1	26.3	0.1	22.1	0.6	2.6	M	R43D63
J140256.0+493647	210.73335	2.0	49.61324	2.0	124.5	13.1	119.4	12.2	25.9	0.5	25.2	0.5	-25.0	32.2	2.4	S	R43D63
J140030.0+500056	210.12511	2.0	50.01569	2.0	70.2	8.3	68.3	7.3	25.7	1.0	25.0	0.9	-5.5	59.0	2.6	S	R43D63
J135754.5+502023	209.47713	2.0	50.33976	2.0	79.5	9.2	75.0	8.0	26.7	1.0	24.8	0.9	-19.2	21.7	2.7	S	R42D64
J135736.2+501135	209.40102	2.0	50.19307	2.0	141.7	14.8	128.2	13.1	26.8	0.5	25.8	0.5	-28.5	22.1	2.5	S	R43D63
J140018.0+495600	210.07529	2.0	49.93354	2.0	319.2	32.5	302.0	30.3	24.9	0.2	24.3	0.2	-29.8	13.1	2.5	M	R43D63
J135612.4+500342	209.05193	2.0	50.06183	2.0	631.1	63.3	596.2	59.7	26.2	0.1	25.3	0.1	-42.7	4.1	2.5	S	R43D63
J140210.2+493052	210.54279	2.0	49.51455	2.0	125.9	13.2	99.7	10.3	29.4	0.7	26.8	0.6	-54.8	11.6	2.3	S	R43D63
J140141.9+493208	210.42496	2.0	49.53558	2.0	133.9	14.0	132.9	13.5	25.3	0.4	24.9	0.4	12.9	52.3	2.3	S	R43D63
J140114.6+493643	210.31111	2.1	49.61219	2.1	63.8	7.5	54.2	5.9	27.8	1.2	26.5	1.1	-84.6	37.7	2.3	S	R43D63
J135914.5+493705	209.81052	2.1	49.61831	2.1	43.5	5.8	41.0	4.7	25.9	1.4	25.5	1.4	-20.7	90.0	2.2	S	R43D63
J135954.3+493047	209.97659	2.4	49.51315	2.4	36.4	5.0	23.6	3.3	34.9	3.7	27.7	2.4	42.5	19.1	2.1	S	R43D63
J135936.1+492256	209.90076	2.0	49.3824	2.0	66.2	7.5	60.2	6.4	26.6	1.0	25.9	0.9	51.0	57.8	2.1	S	R43D63
J135927.1+491525	209.86298	2.5	49.25715	2.6	16.1	4.1	15.5	2.7	26.4	3.9	24.7	3.4	21.8	84.8	2.2	S	R43D63
J135735.4+491920	209.39751	2.0	49.32224	2.0	721.9	72.3	694.3	69.5	25.7	0.1	25.3	0.1	-30.9	6.3	2.1	S	R43D63
J135813.7+494742	209.55743	2.0	49.7951	2.0	147.8	15.3	134.5	13.6	26.5	0.5	25.9	0.4	-12.5	27.6	2.2	S	R43D63
J135757.8+493755	209.49104	2.2	49.63221	2.5	23.4	4.4	20.8	3.0	29.2	3.4	24.1	2.3	7.2	24.0	2.2	S	R43D63
J135704.2+494915	209.26781	2.8	49.82101	3.6	37.0	5.0	16.3	2.9	42.8	6.9	33.2	4.6	0.8	27.6	2.3	S	R43D63
J135648.0+494914	209.20032	2.1	49.82065	2.1	50.4	6.4	41.3	4.8	29.1	1.8	26.3	1.5	-16.9	24.0	2.3	S	R43D63
J135800.8+492631	209.50349	2.1	49.44208	2.2	34.2	5.0	29.3	3.7	29.0	2.3	25.2	1.8	-2.2	22.9	2.1	S	R43D63
J135704.9+492918	209.27055	2.2	49.48837	2.4	29.2	4.7	24.4	3.3	30.5	3.1	24.6	2.1	-9.2	19.1	2.2	S	R43D63
J135718.6+492205	209.32771	2.1	49.36817	2.1	55.5	6.7	49.3	5.4	27.2	1.2	25.9	1.1	-81.2	39.7	2.1	S	R43D63
J135705.7+491844	209.27406	2.1	49.31238	2.1	60.3	7.0	40.8	4.7	32.3	1.9	28.6	1.5	-57.3	19.6	2.1	S	R43D63
J135601.5+492349	209.00661	2.2	49.39706	2.3	27.1	4.6	24.9	3.3	27.0	2.5	25.2	2.2	-10.4	54.5	2.2	S	R43D63
J135411.0+493350	208.54587	2.0	49.56415	2.0	112.0	11.9	96.2	9.9	27.6	0.7	26.4	0.7	-9.0	22.5	2.4	S	R43D63
J135511.7+501921	208.79913	2.0	50.32263	2.0	310.9	31.5	294.0	29.5	26.1	0.3	25.3	0.2	-50.3	14.3	2.8	S	R42D64
J135421.0+502157	208.58789	2.0	50.36611	2.0	2046.5	204.7	1831.1	183.1	28.5	0.0	26.1	0.0	-1.3	0.8	2.8	M	R42D64
J135358.0+501646	208.49187	2.2	50.27972	2.2	41.3	6.3	37.6	4.7	27.6	2.2	24.8	1.8	-32.1	30.5	2.7	S	R42D64
J135316.0+504259	208.31686	2.0	50.71665	2.0	380.5	38.5	366.2	36.8	25.7	0.3	25.2	0.2	-69.8	21.4	3.5	S	R42D64
J135041.8+505550	207.67442	2.0	50.93062	2.0	201.9	21.0	177.6	18.1	27.2	0.6	26.1	0.5	-36.2	19.0	3.4	S	R42D64
J135024.4+505702	207.60179	2.2	50.95058	2.2	51.0	7.7	43.6	5.6	27.5	2.3	26.5	2.1	-31.6	88.4	3.4	S	R42D64
J135117.1+502516	207.82126	2.0	50.42123	2.0	1528.0	153.0	1312.0	131.3	27.5	0.1	26.1	0.1	64.7	2.3	3.6	M	R42D64
J135035.2+502108	207.64697	2.5	50.35231	2.5	34.9	7.2	30.8	4.9	29.2	3.9	24.3	2.8	46.0	30.1	3.7	S	R42D64
J135013.5+503619	207.55652	2.0	50.60552	2.0	317.3	32.3	258.2	26.1	29.8	0.5	25.8	0.4	-36.7	4.6	3.6	C	R42D64
J135008.6+503717	207.53592	2.0	50.6215	2.0	311.6	32.4	245.5	24.8	31.2	0.6	23.8	0.3	-32.3	2.7	3.6	M	R42D64
J134906.4+503200	207.27708	2.4	50.53349	2.8	51.9	7.8	32.8	5.1	34.9	4.5	28.4	3.1	-7.8	26.2	3.6	S	R42D64
J135447.2+495131	208.69687	2.0	49.85863	2.0	101.2	11.0	94.0	9.7	27.2	0.8	24.8	0.6	-33.2	11.3	2.5	S	R43D63
J135438.5+494956	208.66071	2.0	49.83245	2.0	1888.7	189.0	1134.8	113.5	48.4	0.2	27.2	0.1	88.4	0.3	2.5	M	R43D63
J135243.0+495424	208.17931	2.2	49.90676	2.3	50.4	6.7	36.2	4.6	31.8	2.7	27.3	2.0	28.5	23.1	2.7	S	R42D64
J135205.6+500145	208.02365	2.0	50.02944	2.1	96.9	10.8	80.5	8.6	29.1	1.1	25.8	0.9	-21.1	13.7	2.8	S	R42D64
J135416.2+494009	208.56786	2.1	49.66939	2.1	60.8	7.4	48.5	5.5	29.4	1.6	26.7	1.4	-17.0	22.6	2.5	S	R43D63
J135340.7+493424	208.41975	2.0	49.57343	2.0	100.7	10.9	85.6	8.9	27.5	0.8	26.7	0.8	-60.5	43.8	2.5	S	R43D63
J135027.6+500935	207.61523	2.1	50.15995	2.4	98.3	11.3	58.0	6.9	39.9	3.0	26.6	1.5	0.2	8.2	3.5	S	R42D64
J135035.1+500723	207.64664	2.0	50.12316	2.0	421.7	42.6	385.3	38.7	26.6	0.2	25.7	0.2	-34.2	10.7	3.4	S	R42D64
J134815.4+501259	207.06448	2.4	50.2164	2.4	79.0	9.9	44.8	6.1	33.8	3.1	32.6	3.0	-85.0	90.0	3.8	S	R42D64
J135002.5+495031	207.51067	2.0	49.84201	2.0	115.2	12.8	106.4	11.1	26.5	0.8	25.5	0.8	-6.3	32.5	3.2	S	R42D64
J140210.9+534622	210.5457	2.1	53.77289	2.1	98.4	12.9	82.2	9.7	29.3	1.9	25.5	1.5	-34.8	19.6	4.9	S	R43D65
J140128.5+532631	210.36902	2.0	53.44196	2.0	366.4	37.5	270.0	27.5	31.6	0.6	26.8	0.5	-87.1	5.3	4.7	S	R43D65
J140038.6+532923	210.16098	2.0	53.48981	2.0	717.9	72.7	453.1	45.6	36.0	0.5	24.4	0.3	-26.3	1.5	4.8	M	R43D65
J140018.9+533659	210.07913	2.0	53.61652	2.0	6024.7	602.6	4773.4	477.4	30.3	0.0	26.1	0.0	14.1	0.3	4.8	M	R43D65
J140012.5+533936	210.05235	2.4	53.66002	2.6	129.1	14.7	62.2	7.9	48.8	4.7	26.6	1.7	38.6	7.5	4.8	S	R43D65
J135859.6+541333	209.74844	2.0	54.22599	2.0	708.5	71.3	671.8	67.3	26.7	0.2	24.7	0.2	-44.0	3.6	4.7	S	R43D65
J135909.4+541129	209.78947	2.0	54.19151	2.0	686.9	69.2	618.0	62.0	27.1	0.2	25.6	0.2	-46.4	5.5	4.7	S	R43D65
J135604.2+540146	209.01756	2.1	54.02953	2.1	137.5	15.3	97.9	10.7	32.5	1.5	27.0	1.1	50.3	9.8	4.0	S	R43D65
J135607.1+535457	209.02991	2.1	53.91595	2.1	120.2	14.1	104.3	11.3	28.3	1.3	25.4	1.0	-26.4	16.1	4.3	S	R43D65
J135519.1+540146	208.82997	2.2	54.02969	2.2	54.6	8.7	48.8	6.4	26.8	2.3	26.1	2.2	-61.8	90.0	4.0	S	R43D65
J135353.4+541154	208.47261	2.1	54.19834	2.1	88.0	10.6	71.1	8.0	28.5	1.5	27.1	1.4	12.1	40.3	3.5	S	R43D65
J135857.0+532841	209.73785	2.0	53.47828	2.0	773.0	78.0	371.7	37.4	43.5	0.8	26.6	0.4	32.8	1.7	4.5	M	R43D65
J135928.8+531318	209.87006	2.0	53.2217	2.0	176.5	19.4	155.8	16.3	28.1	0.9	25.2	0.7	-20.7	12.3	4.7	S	R43D65
J135801.0+533304	209.50433	2.5	53.55136	2.3	38.6	8.6	37.0	5.8	28.0	3.7	23.3	2.6	-86.4	28.9	4.5	S	R43D65
J135920.7+530631	209.83636	2.0	53.10863	2.0	208.3	22.3	171.0	17.8	28.5	0.8	26.7	0.7	-37.0	18.4	4.7	S	R43D65
J135817.5+531631	209.57307	2.2	53.27537	2.4	62.4	9.8	48.7	6.8	30.4	3.2	26.3	2.4	-9.7	29.2	4.5	S	R43D65
J135905.2+530012	209.77197	2.0	53.00346	2.0	125.7	15.1	131.5	14.0	24.8	0.9	24.1	0.9	6.0	54.7	4.8	S	R43D65
J135645.9+531651	209.19141	2.5	53.2811	2.4	38.9	8.5	34.7	5.7	27.2	3.7	25.8	3.3	77.0	90.0	4.4	S	R43D65
J135622.7+531149	209.09473	2.1	53.19714	2.1	89.8	11.9	82.5	9.5	26.6	1.5	25.6	1.4	84.7	58.5	4.6	S	R43D65
J135630.0+534105	209.12526	2.1	53.68481	2.2	79.7	11.0	65.8	8.1	28.9	2.1	26.2	1.8	-15.7	30.1	4.5	S	R43D65
J135631.1+533919	209.12967	2.0	53.65535	2.0	318.1	32.7	295.6	29.9	26.4	0.4	25.5	0.4	-32.8	18.8	4.5	S	R43D65
J135541.4+534648	208.92285	2.1	53.78009	2.1	124.6	14.7	109.8	11.9	28.1	1.3	25.2	1.0	-37.8	16.1	4.6	S	R43D65
J135520.7+534142	208.83647	2.0	53.69527	2.0	769.6	77.7	653.6	65.5	26.7	0.2	26.5	0.2	-57.3	36.2	4.7	M	R43D65
J135443.1+533347	208.67963	2.0	53.56314	2.0	311.1	32.1	274.5	27.9	27.3	0.5	25.9	0.4	-25.8	13.0	4.6	S	R43D65
J135335.9+534739	208.39975	2.7	53.7943	2.4	40.2	8.4	34.6	5.6	31.3	4.6	23.2	2.6	65.8	18.7	4.3	S	R43D65
J135449.9+531824	208.70824	2.1	53.30682	2.1	116.4	14.0	105.0	11.5	27.4	1.3	25.3	1.1	-15.4	21.8	4.5	S	R43D65
J135321.0+533159	208.33759	2.0	53.5333	2.1	141.1	16.0	116.7	12.5	28.7	1.2	26.4	1.0	-31.9	18.5	4.4	S	R43D65
J135146.4+533412	207.94344	2.1	53.57024	2.1	73.4	10.0	68.8	7.9	26.9	1.6	24.8	1.4	-59.9	28.6	3.9	S	R43D65
J135112.4+533606	207.80193	2.0	53.60184	2.0	423.9	42.9	320.1	32.3	32.5	0.5	25.5	0.3	-12.9	0.6	3.9	S	R43D65
J135442.8+542510	208.67867	2.0	54.41961	2.0	235.9	24.9	209.0	21.2	25.3	0.4	24.4	0.4	-60.4	19.3	3.4	M	R43D65
J135405.7+542651	208.52386	2.3	54.44755	2.3	50.9	7.6	38.9	5.3	29.1	2.7	28.1	2.5	72.7	90.0	3.4	S	R43D65
J135327.3+543105	208.36392	2.1	54.51817	2.2	50.5	7.4	45.8	5.6	28.2	2.1	24.4	1.6	-25.4	21.9	3.2	S	R42D66
J135137.4+543947	207.90614	2.4	54.66321	2.3	108.8	12.9	46.5	5.5	41.7	3.8	23.5	1.4	-42.9	6.9	3.0	M	R42D66
J135133.2+543942	207.88835	2.6	54.66188	2.7	27.3	5.7	21.6	3.8	28.7	4.2	27.5	3.9	-20.6	90.0	3.0	C	R42D66
J135252.7+541526	208.21985	2.1	54.25747	2.1	78.7	9.7	62.7	7.2	29.5	1.7	26.6	1.4	-56.1	21.2	3.3	S	R43D65
J135303.5+541027	208.26468	2.0	54.17429	2.0	253.0	26.0	203.5	20.7	28.9	0.5	26.9	0.5	-9.3	8.6	3.4	S	R43D65
J134910.8+542113	207.29518	2.9	54.35373	2.4	63.4	7.7	31.7	4.4	47.8	5.6	26.2	2.0	-59.7	8.8	2.9	S	R42D66
J134923.2+541904	207.34671	2.3	54.31803	2.2	57.9	7.6	39.8	5.1	32.6	2.8	27.8	2.1	-72.2	22.1	3.0	S	R42D66
J134956.7+544858	207.48663	2.0	54.81631	2.0	99.4	11.1	89.3	9.4	27.2	0.9	25.6	0.8	-76.4	21.8	2.8	S	R42D66
J134859.2+543912	207.24667	2.1	54.65347	2.1	73.3	8.7	58.5	6.5	28.9	1.5	27.1	1.3	77.3	33.7	2.8	S	R42D66
J134829.5+542640	207.12292	2.2	54.44463	2.1	89.1	10.0	52.7	6.1	39.6	2.6	26.7	1.3	-55.0	7.0	2.8	S	R42D66
J134759.6+540344	206.99841	2.3	54.06224	2.4	43.2	6.8	33.6	4.7	30.7	3.2	26.2	2.4	-24.8	29.3	3.1	S	R42D65
J134934.6+534117	207.39429	2.0	53.68826	2.0	2333.7	233.5	2107.2	210.8	27.2	0.1	25.5	0.0	-63.9	1.2	3.7	M	R42D65
J134911.2+535216	207.29686	2.1	53.87112	2.1	74.9	9.5	67.0	7.6	27.0	1.5	25.9	1.3	-30.0	56.4	3.4	S	R42D65
J134740.8+535609	206.92041	2.4	53.93589	2.5	33.7	6.5	28.0	4.4	30.0	4.0	25.1	2.8	-36.2	32.2	3.3	S	R42D65
J134716.4+534038	206.81836	2.3	53.67732	2.3	61.0	8.2	40.8	5.4	31.3	2.8	29.9	2.6	-30.6	79.0	3.3	S	R42D65
J134632.5+541049	206.6355	2.8	54.18037	2.1	157.8	16.9	52.5	6.1	50.7	4.8	25.5	1.5	5.7	6.4	3.1	M	R42D65
J134518.8+541305	206.32864	2.4	54.21819	3.0	28.6	5.7	22.0	3.8	32.9	5.2	24.7	3.1	-1.9	24.2	3.0	S	R42D65
